id,name,slug,category_type,db_fit,first_class_neon,first_class_supabase,byo_postgres,deploy_path,oss,pricing_model,ai_builder,designer_first,enterprise_ready,overview_short,pros_short,cons_short,tags,difficulty_hint,complexity_hint,avg_rating,vote_count,created_at
11,Databutton,databutton,AI Builder,Supabase,False,True,True,Databutton Cloud,False,freemium,True,False,False,Python→web fast with agent,Python‑native; fast deploy,Vendor hosting,python;agent;supabase,2,2,0.0,0,2025-10-11T08:11:07.230413Z
12,Windmill,windmill,Low-code Ops,Supabase+Postgres,False,True,True,Cloud/Self-host,True,oss,False,False,True,Scripts→UIs/workflows; workers,Dev‑friendly; scalable,UI basic,workflows;oss;supabase;postgres,3,4,0.0,0,2025-10-11T08:11:07.230417Z
13,Draftbit,draftbit,No-code App,Supabase,False,True,True,Stores/Expo,False,paid,False,False,False,React‑Native builder,RN ecosystem,Mobile focus only,react-native;mobile;supabase,3,3,0.0,0,2025-10-11T08:11:07.230420Z
14,Bravo Studio,bravo-studio,No-code App,Supabase,False,True,True,iOS/Android,False,paid,False,True,False,Figma→native app via APIs,Design‑first,API wiring required,figma;mobile;supabase,2,3,0.0,0,2025-10-11T08:11:07.230423Z
15,Webstudio,webstudio,No-code App,Supabase,False,True,True,Vercel/Netlify,False,freemium,False,True,False,Modern visual builder with data,Great DX,Newer ecosystem,webstudio;visual;supabase,2,2,0.0,0,2025-10-11T08:11:07.230426Z
16,Framer (+SupaSync),framer,No-code App,Supabase,False,True,True,Framer Hosting,False,paid,False,True,False,Design→prod sites; plugin for data,Instant hosting,App logic light,framer;design;supabase,1,2,0.0,0,2025-10-11T08:11:07.230429Z
17,Tempo,tempo,AI Builder,Supabase,False,True,True,Tempo Cloud,False,paid,True,False,False,AI app platform + templates,Quick starts,Smaller ecosystem,ai;templates;supabase,2,2,0.0,0,2025-10-11T08:11:07.230432Z
18,Noodl,noodl,Low-code App,Supabase,False,True,True,Cloud/Self-host,False,paid,False,False,True,Node‑based visual apps,Flexible logic,Setup effort,visual;nodes;supabase,3,4,0.0,0,2025-10-11T08:11:07.230435Z
19,Retool,retool,Internal Tools,Postgres,False,False,True,Cloud/On‑prem,False,paid,False,False,True,Internal apps fast,Enterprise‑ready,Cost at scale,internal;postgres;enterprise,2,3,0.0,0,2025-10-11T08:11:07.230438Z
20,Appsmith,appsmith,Internal Tools,Postgres,False,False,True,Cloud/Self-host,True,oss,False,False,False,OSS app builder,Open source; self‑host,Styling polish,oss;internal;postgres,2,3,0.0,0,2025-10-11T08:11:07.230441Z
21,ToolJet,tooljet,Internal Tools,Postgres+Supabase,False,True,True,Cloud/Self-host,True,oss,False,False,False,OSS app builder; many plugins,Flexible,Perf tuning,oss;internal;supabase;postgres,2,3,0.0,0,2025-10-11T08:11:07.230444Z
22,Budibase,budibase,Internal Tools,Postgres,False,False,True,Cloud/Self-host,True,oss,False,False,False,OSS portals & tools,Fast CRUD,Advanced logic DIY,oss;internal;postgres,2,3,0.0,0,2025-10-11T08:11:07.230448Z
23,Directus,directus,Data/App Studio,Postgres,False,False,True,Cloud/Self-host,True,oss,False,True,True,Headless CMS + studio,Data‑centric; admin UI,Front‑end minimal,headless;cms;postgres;oss,2,3,0.0,0,2025-10-11T08:11:07.230451Z
24,Hasura Cloud,hasura,Backend,Postgres,False,False,True,Cloud/Self-host,True,oss+paid,False,False,True,Instant GraphQL/REST over Postgres,Great perf; events,Schema‑driven limits,graphql;postgres;backend,3,4,0.0,0,2025-10-11T08:11:07.230454Z
25,Nhost,nhost,Backend,Postgres,False,False,True,Nhost Cloud,False,freemium,False,False,True,Hasura+Auth+Storage managed,Fast backend,Opinionated,backend;postgres;auth,2,3,0.0,0,2025-10-11T08:11:07.230457Z
26,UI Bakery,ui-bakery,Internal Tools,Postgres,False,False,True,Cloud,False,paid,False,False,True,Internal tools builder,Quick UI,Pricing tiers,internal;postgres;ui,2,2,0.0,0,2025-10-11T08:11:07.230461Z
27,Jet Admin,jet-admin,Internal Tools,Postgres,False,False,True,Cloud,False,paid,False,False,True,Admin panels quickly,Polished UX,Cost,admin;postgres;saas,1,2,0.0,0,2025-10-11T08:11:07.230464Z
28,DronaHQ,dronahq,Internal Tools,Postgres,False,False,True,Cloud,False,paid,False,False,True,Internal apps & connectors,Many integrations,Pricing,internal;postgres;connectors,2,3,0.0,0,2025-10-11T08:11:07.230467Z
29,Superblocks,superblocks,Internal Tools,Postgres,False,False,True,Cloud/Self-host,False,paid,False,False,True,Workflows + apps,Flexible,Enterprise focus,internal;workflows;postgres,2,3,0.0,0,2025-10-11T08:11:07.230470Z
30,Forest Admin,forest-admin,Admin UI,Postgres,False,False,True,Cloud/Agent,False,paid,False,False,True,Admin UI generator,Fast CRUD,Agent setup,admin;postgres;generator,2,2,0.0,0,2025-10-11T08:11:07.230473Z
31,BaseDash,basedash,DB GUI,Postgres,False,False,True,Cloud,False,paid,False,False,False,Collaborate on your DB,Clean UI,Limited scope,db;gui;postgres,1,2,0.0,0,2025-10-11T08:11:07.230476Z
32,Dify,dify,LLM Builder,Postgres,False,False,True,Self/Cloud,True,oss,False,False,False,Build AI apps & agents,Templates; extensible,Infra know‑how,llm;oss;postgres,3,3,0.0,0,2025-10-11T08:11:07.230479Z
33,Langflow,langflow,LLM Builder,Postgres,False,False,True,Cloud/Self-host,True,oss+paid,False,False,False,Drag‑drop LLM flows,Visual; hosted option,Prod hardening,llm;visual;postgres,2,3,0.0,0,2025-10-11T08:11:07.230482Z
34,FlowiseAI,flowise,LLM Builder,Postgres,False,False,True,Self-host,True,oss,False,False,False,OSS LLM studio,Extensible nodes,DIY deploy,llm;oss;postgres,3,3,0.0,0,2025-10-11T08:11:07.230485Z
35,Open WebUI,open-webui,LLM App,Postgres,False,False,True,Self-host,True,oss,False,False,False,Self‑host chat/app UI,Local models,Ops burden,self-host;ui;postgres,2,3,0.0,0,2025-10-11T08:11:07.230488Z
36,LlamaIndex Deploy,llamaindex-deploy,LLM Backend,Postgres,False,False,True,Your infra,True,oss+paid,False,False,True,RAG/agents deploy tooling,Library power,Ops work,rag;agents;postgres,3,4,0.0,0,2025-10-11T08:11:07.230492Z
37,Streamlit Cloud,streamlit,Py App Host,Postgres,False,False,True,Streamlit Cloud,False,freemium,False,False,False,Deploy Python apps fast,Rapid dev,Basic web UX,python;data;postgres,1,2,0.0,0,2025-10-11T08:11:07.230495Z
38,Hugging Face Spaces,hf-spaces,App Host,Postgres,False,False,True,Spaces,False,free+paid,False,False,False,Gradio/Streamlit hosting,Huge reach,Cold starts,gradio;hosting;postgres,1,2,0.0,0,2025-10-11T08:11:07.230498Z
39,Shinyapps.io,shinyapps,Py/R Host,Postgres,False,False,True,Shinyapps.io,False,paid,False,False,False,R/Python UIs hosting,Data‑science fit,R focus,r;python;postgres,2,2,0.0,0,2025-10-11T08:11:07.230502Z
40,Anvil,anvil,Py App Builder,Postgres,False,False,True,Anvil Cloud,False,paid,False,False,False,Python full‑stack builder,One‑stack simplicity,Vendor hosting,python;fullstack;postgres,2,2,0.0,0,2025-10-11T08:11:07.230505Z
41,Reflex (Pynecone),reflex,Py Full‑stack,Postgres+Neon,True,False,True,Reflex Cloud/Self,True,oss+paid,False,False,False,Python→React full‑stack,Code‑first,Young tool,python;react;postgres;neon,3,3,0.0,0,2025-10-11T08:11:07.230508Z
42,Wappler,wappler,Low-code Pro,Postgres,False,False,True,Your infra,False,paid,False,True,True,Pro visual dev for web,"Powerful, flexible",Learning curve,pro;lowcode;postgres,4,4,0.0,0,2025-10-11T08:11:07.230512Z
43,Bubble,bubble,No-code App,Postgres‑via‑API,False,False,True,Bubble Cloud,False,paid,False,True,False,Full web apps visually,Mature ecosystem,Vendor lock‑in,nocode;saas;api,2,3,0.0,0,2025-10-11T08:11:07.230515Z
44,Xano,xano,Backend,Postgres,False,False,True,Xano Cloud,False,paid,False,False,True,No‑code backend on Postgres,Scalable,Closed source,backend;postgres;saas,2,3,0.0,0,2025-10-11T08:11:07.230518Z
45,Backendless,backendless,Backend,Postgres‑ext,False,False,True,Backendless Cloud,False,paid,False,False,True,No/low‑code BaaS,Many features,Connector work,backend;baas;postgres,2,3,0.0,0,2025-10-11T08:11:07.230521Z
46,8base,8base,Backend,Postgres,False,False,True,8base Cloud,False,paid,False,False,True,GraphQL backend platform,Enterprise features,Pricing,graphql;backend;postgres,2,3,0.0,0,2025-10-11T08:11:07.230524Z
47,NocoBase,nocobase,Low-code App,Postgres,False,False,True,Self-host,True,oss,False,False,False,OSS app platform,Schema‑first,Self‑host only,oss;lowcode;postgres,3,3,0.0,0,2025-10-11T08:11:07.230527Z
48,TeleportHQ,teleporthq,No-code App,Postgres‑via‑API,False,False,True,Static hosts,False,paid,False,True,False,Design→code exporter,Frontend strong,Backend wiring,design;export;api,2,2,0.0,0,2025-10-11T08:11:07.230530Z
49,SAP Build Apps,sap-build-apps,No-code App,Postgres‑via‑API,False,False,True,SAP Cloud,False,paid,False,False,True,Enterprise no‑code builder,SAP native,Heavy stack,enterprise;sap;nocode,3,4,0.0,0,2025-10-11T08:11:07.230533Z
50,Bildr,bildr,No/low-code,Postgres‑via‑API,False,False,True,Bildr Cloud,False,paid,False,True,False,Visual full‑stack builder,Flexible,Newer platform,visual;fullstack;api,3,3,0.0,0,2025-10-11T08:11:07.230537Z
51,Pory,pory,No-code App,Supabase,False,True,True,Pory Cloud,False,paid,False,False,False,Portals/dashboards on data,Quick data UIs,Advanced logic limits,portals;supabase;nocode,1,2,0.0,0,2025-10-11T08:11:07.230540Z
52,Observable Framework,observable,Data Apps,Postgres‑via‑Node,False,False,True,Any host,True,oss+paid,False,True,False,Code‑driven notebooks→apps,Great viz,Dev skills needed,data;viz;notebooks,3,3,0.0,0,2025-10-11T08:11:07.230543Z
53,Internal.io,internal-io,Internal Tools,Postgres,False,False,True,Cloud,False,paid,False,False,True,Internal tools SaaS,Simple UX,Cost,internal;postgres;saas,1,2,0.0,0,2025-10-11T08:11:07.230546Z
54,Saltcorn,saltcorn,No-code App,Postgres,False,False,True,Self/Cloud,True,oss,False,False,False,OSS Postgres‑native builder,SQL‑friendly,Modest UI,oss;postgres;builder,3,3,0.0,0,2025-10-11T08:11:07.230549Z
55,ILLA Cloud,illa,Internal Tools,Postgres,False,False,True,Cloud,True,oss+paid,False,False,False,Low‑code internal apps,Fast build,Young ecosystem,internal;oss;postgres,2,2,0.0,0,2025-10-11T08:11:07.230552Z
56,Lowdefy,lowdefy,Low-code App,Postgres,False,False,True,Netlify/Vercel,True,oss,False,False,False,YAML→apps on static hosts,Git‑friendly,Config‑heavy,yaml;oss;vercel,3,3,0.0,0,2025-10-11T08:11:07.230555Z
57,Panel (HoloViz),panel,Py App,Postgres,False,False,True,Your server,True,oss,False,False,False,Python dashboards & apps,Flexible viz,DIY deploy,python;viz;postgres,3,3,0.0,0,2025-10-11T08:11:07.230558Z
58,Node-RED,node-red,Workflows,Postgres,False,False,True,Self-host,True,oss,False,False,False,Flow‑based integrations/apps,Great for IoT,UI limited,workflows;iot;postgres,2,3,0.0,0,2025-10-11T08:11:07.230562Z
59,Create / Anything,created-app,AI Builder,Neon,True,False,True,created.app,False,paid,True,False,False,AI→app + publish; Neon docs,End‑to‑end,Small ecosystem,ai;neon;publish,2,2,0.0,0,2025-10-11T08:11:07.230565Z
60,Encore.dev,encore,Backend,Postgres,False,False,True,Encore/Your cloud,False,free+paid,False,False,True,Backend framework & platform,Strong DX,Backend‑centric,golang;backend;postgres,3,4,0.0,0,2025-10-11T08:11:07.230568Z
